model	dataset	subtoken	N
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	3,7	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	4,1	273
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	4,2	450
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	4,3	557
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	4,4	321
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	4,5	71
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	4,6	10
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	5,1	28
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	5,2	42
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	5,3	48
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	5,4	55
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	5,5	34
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	5,6	9
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	5,7	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	6,2	4
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	6,3	3
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	6,4	8
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	6,5	6
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	6,6	2
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	6,7	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	7,4	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	7,5	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	7,6	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	9,4	1
