model	dataset	N	oov	hyper_num	method	AP	include_oov	corpus	qts_pattern
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.738037644840643	False	wikipedia120M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7210581271522678	False	wikipedia120M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7133694076487791	False	wikipedia120M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7324062646214777	False	wikipedia120M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.738037644840643	False	wikipedia120M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7210581271522678	False	wikipedia120M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7133694076487791	False	wikipedia120M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7324062646214777	False	wikipedia120M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.739391984115575	False	wikipedia120M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7214170010788437	False	wikipedia120M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7123820598920779	False	wikipedia120M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7347758555284049	False	wikipedia120M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.739391984115575	False	wikipedia120M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7214170010788437	False	wikipedia120M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7123820598920779	False	wikipedia120M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7347758555284049	False	wikipedia120M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7368164501557025	False	wikipedia120M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7291050142358935	False	wikipedia120M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7173007758007011	False	wikipedia120M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7326011535135577	False	wikipedia120M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7368164501557025	False	wikipedia120M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7291050142358935	False	wikipedia120M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7173007758007011	False	wikipedia120M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7326011535135577	False	wikipedia120M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7307834894076246	False	wikipedia120M	7
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7302086355938757	False	wikipedia120M	7
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7177646089252288	False	wikipedia120M	7
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.729258524464867	False	wikipedia120M	7
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7307834894076246	False	wikipedia120M	7
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7302086355938757	False	wikipedia120M	7
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7177646089252288	False	wikipedia120M	7
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.729258524464867	False	wikipedia120M	7
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7284788539996196	False	wikipedia120M	8
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7272295898844863	False	wikipedia120M	8
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7160272310808999	False	wikipedia120M	8
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7276228869687656	False	wikipedia120M	8
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7284788539996196	False	wikipedia120M	8
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7272295898844863	False	wikipedia120M	8
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7160272310808999	False	wikipedia120M	8
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7276228869687656	False	wikipedia120M	8
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7236164087108943	False	wikipedia120M	9
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7275813924029904	False	wikipedia120M	9
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7163150419261959	False	wikipedia120M	9
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7217075749527756	False	wikipedia120M	9
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7236164087108943	False	wikipedia120M	9
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7275813924029904	False	wikipedia120M	9
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7163150419261959	False	wikipedia120M	9
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7217075749527756	False	wikipedia120M	9
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7180712104577616	False	wikipedia120M	10
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7153568222679123	False	wikipedia120M	10
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.6872382743810768	False	wikipedia120M	10
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7177696980729149	False	wikipedia120M	10
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7180712104577616	False	wikipedia120M	10
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7153568222679123	False	wikipedia120M	10
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.6872382743810768	False	wikipedia120M	10
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7177696980729149	False	wikipedia120M	10
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7127551428339948	False	wikipedia120M	11
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7109115592284156	False	wikipedia120M	11
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.6843926919152831	False	wikipedia120M	11
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7122074488101928	False	wikipedia120M	11
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7127551428339948	False	wikipedia120M	11
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7109115592284156	False	wikipedia120M	11
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.6843926919152831	False	wikipedia120M	11
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7122074488101928	False	wikipedia120M	11
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.709891311774933	False	wikipedia120M	12
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7121481709760645	False	wikipedia120M	12
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.6865688762726494	False	wikipedia120M	12
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.708995893785361	False	wikipedia120M	12
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.709891311774933	False	wikipedia120M	12
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7121481709760645	False	wikipedia120M	12
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.6865688762726494	False	wikipedia120M	12
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.708995893785361	False	wikipedia120M	12
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7085108294914971	False	wikipedia120M	13
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7049847296654385	False	wikipedia120M	13
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.679003709446351	False	wikipedia120M	13
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7024729487360915	False	wikipedia120M	13
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7085108294914971	False	wikipedia120M	13
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7049847296654385	False	wikipedia120M	13
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.679003709446351	False	wikipedia120M	13
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7024729487360915	False	wikipedia120M	13
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7054426610303985	False	wikipedia120M	14
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7043459217047446	False	wikipedia120M	14
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.6794753238249921	False	wikipedia120M	14
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.6980236290267234	False	wikipedia120M	14
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7054426610303985	False	wikipedia120M	14
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7043459217047446	False	wikipedia120M	14
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.6794753238249921	False	wikipedia120M	14
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.6980236290267234	False	wikipedia120M	14
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.6997745036776409	False	wikipedia120M	15
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7007893170160806	False	wikipedia120M	15
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.6783922566662208	False	wikipedia120M	15
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.6934769606493145	False	wikipedia120M	15
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.6997745036776409	False	wikipedia120M	15
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7007893170160806	False	wikipedia120M	15
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.6783922566662208	False	wikipedia120M	15
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.6934769606493145	False	wikipedia120M	15
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7206249094572905	False	wikipedia240M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7206249094572905	False	wikipedia240M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7206249094572905	False	wikipedia240M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7206249094572905	False	wikipedia240M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7206249094572905	False	wikipedia240M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7206249094572905	False	wikipedia240M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7206249094572905	False	wikipedia240M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7206249094572905	False	wikipedia240M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7352678405597806	False	wikipedia240M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7187235081464969	False	wikipedia240M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7213546185844557	False	wikipedia240M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7332234638510133	False	wikipedia240M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7352678405597806	False	wikipedia240M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7187235081464969	False	wikipedia240M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7213546185844557	False	wikipedia240M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7332234638510133	False	wikipedia240M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7446972036469655	False	wikipedia240M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.722302728117121	False	wikipedia240M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7272737381829923	False	wikipedia240M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7417104916020494	False	wikipedia240M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7446972036469655	False	wikipedia240M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.722302728117121	False	wikipedia240M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7272737381829923	False	wikipedia240M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7417104916020494	False	wikipedia240M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.738037644840643	False	wikipedia240M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7210581271522678	False	wikipedia240M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7133694076487791	False	wikipedia240M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7324062646214777	False	wikipedia240M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.738037644840643	False	wikipedia240M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7210581271522678	False	wikipedia240M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7133694076487791	False	wikipedia240M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7324062646214777	False	wikipedia240M	4
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.739391984115575	False	wikipedia240M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7214170010788437	False	wikipedia240M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7123820598920779	False	wikipedia240M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7347758555284049	False	wikipedia240M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.739391984115575	False	wikipedia240M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7214170010788437	False	wikipedia240M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7123820598920779	False	wikipedia240M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7347758555284049	False	wikipedia240M	5
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7368164501557025	False	wikipedia240M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7291050142358935	False	wikipedia240M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7173007758007011	False	wikipedia240M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7326011535135577	False	wikipedia240M	6
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7368164501557025	False	wikipedia240M	6
